geoid_2025,geoid_2015,state,relationship,source,note
02185,02185,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Same code in both vintages (North Slope Borough).
02188,02188,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)","Same code in both vintages (NORTHWEST ARCTIC BOROUGH, AK)."
02195,02280,AK,ak_aggregate_member,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Member of 2015 location 02280 'Wrangell-Petersburg Census Area'.
02198,02201,AK,renamed,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Prince of Wales-Outer Ketchikan (02201) was retired in 2008; the 2015 scheme retains it for today's Prince of Wales-Hyder (02198). 1:1 approximation -- see history_edges.csv for the annexed-sliver caveat.
02220,02220,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Same code in both vintages (Sitka City and Borough).
02230,02231,AK,ak_aggregate_member,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Member of 2015 location 02231 'Skagway-Yakutat-Angoon Census Area'.
02240,02240,AK,identity,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Same code in both vintages (Southeast Fairbanks Census Area).
02275,02280,AK,ak_aggregate_member,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Member of 2015 location 02280 'Wrangell-Petersburg Census Area'.
02282,02231,AK,ak_aggregate_member,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)",Member of 2015 location 02231 'Skagway-Yakutat-Angoon Census Area'.
02290,02290,AK,ak_aggregate_member,"Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16)","Member of 2015 location 02290 'Yukon-Koyukuk Census Area + Denali'. The predecessor kept this GEOID with a smaller boundary, so the same code is also a current canonical GEOID."
09110,09003,CT,ct_owner_assignment,"ct_cou_to_cousub_crosswalk_final_choices.xlsx sheet 'Final_Assignment_for_Urban_Rent' (J. Prestemon, received 2026-07-16)","Owner's final 1:1 choice: Hartford County (09003) reads this planning region's (Capitol) value. Replicate, don't allocate -- 09110 is read by two old counties. Deliberately differs from the largest-share successor for 09001 and 09009; the weighted many-to-many allocation lives in historical_splits.csv."
09110,09013,CT,ct_owner_assignment,"ct_cou_to_cousub_crosswalk_final_choices.xlsx sheet 'Final_Assignment_for_Urban_Rent' (J. Prestemon, received 2026-07-16)","Owner's final 1:1 choice: Tolland County (09013) reads this planning region's (Capitol) value. Replicate, don't allocate -- 09110 is read by two old counties. Deliberately differs from the largest-share successor for 09001 and 09009; the weighted many-to-many allocation lives in historical_splits.csv."
09120,09001,CT,ct_owner_assignment,"ct_cou_to_cousub_crosswalk_final_choices.xlsx sheet 'Final_Assignment_for_Urban_Rent' (J. Prestemon, received 2026-07-16)","Owner's final 1:1 choice: Fairfield County (09001) reads this planning region's (Greater Bridgeport) value. Replicate, don't allocate -- 09110 is read by two old counties. Deliberately differs from the largest-share successor for 09001 and 09009; the weighted many-to-many allocation lives in historical_splits.csv."
09130,09007,CT,ct_owner_assignment,"ct_cou_to_cousub_crosswalk_final_choices.xlsx sheet 'Final_Assignment_for_Urban_Rent' (J. Prestemon, received 2026-07-16)","Owner's final 1:1 choice: Middlesex County (09007) reads this planning region's (Lower Connecticut River Valley) value. Replicate, don't allocate -- 09110 is read by two old counties. Deliberately differs from the largest-share successor for 09001 and 09009; the weighted many-to-many allocation lives in historical_splits.csv."
09140,09009,CT,ct_owner_assignment,"ct_cou_to_cousub_crosswalk_final_choices.xlsx sheet 'Final_Assignment_for_Urban_Rent' (J. Prestemon, received 2026-07-16)","Owner's final 1:1 choice: New Haven County (09009) reads this planning region's (Naugatuck Valley) value. Replicate, don't allocate -- 09110 is read by two old counties. Deliberately differs from the largest-share successor for 09001 and 09009; the weighted many-to-many allocation lives in historical_splits.csv."
09150,09015,CT,ct_owner_assignment,"ct_cou_to_cousub_crosswalk_final_choices.xlsx sheet 'Final_Assignment_for_Urban_Rent' (J. Prestemon, received 2026-07-16)","Owner's final 1:1 choice: Windham County (09015) reads this planning region's (Northeastern Connecticut) value. Replicate, don't allocate -- 09110 is read by two old counties. Deliberately differs from the largest-share successor for 09001 and 09009; the weighted many-to-many allocation lives in historical_splits.csv."
09160,09005,CT,ct_owner_assignment,"ct_cou_to_cousub_crosswalk_final_choices.xlsx sheet 'Final_Assignment_for_Urban_Rent' (J. Prestemon, received 2026-07-16)","Owner's final 1:1 choice: Litchfield County (09005) reads this planning region's (Northwest Hills) value. Replicate, don't allocate -- 09110 is read by two old counties. Deliberately differs from the largest-share successor for 09001 and 09009; the weighted many-to-many allocation lives in historical_splits.csv."
09170,,CT,ct_owner_unassigned,"ct_cou_to_cousub_crosswalk_final_choices.xlsx sheet 'Final_Assignment_for_Urban_Rent' (J. Prestemon, received 2026-07-16)",South Central Connecticut Planning Region is deliberately not read by any old county under the owner's final choices -- its value is unused when feeding the 2015-keyed model.
09180,09011,CT,ct_owner_assignment,"ct_cou_to_cousub_crosswalk_final_choices.xlsx sheet 'Final_Assignment_for_Urban_Rent' (J. Prestemon, received 2026-07-16)","Owner's final 1:1 choice: New London County (09011) reads this planning region's (Southeastern Connecticut) value. Replicate, don't allocate -- 09110 is read by two old counties. Deliberately differs from the largest-share successor for 09001 and 09009; the weighted many-to-many allocation lives in historical_splits.csv."
09190,,CT,ct_owner_unassigned,"ct_cou_to_cousub_crosswalk_final_choices.xlsx sheet 'Final_Assignment_for_Urban_Rent' (J. Prestemon, received 2026-07-16)",Western Connecticut Planning Region is deliberately not read by any old county under the owner's final choices -- its value is unused when feeding the 2015-keyed model.
