legacy_geoid,canonical_geoid,state,note,source
51945,51163,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51944,51161,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51942,51153,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51941,51149,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51939,51143,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51933,51121,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51931,51095,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51929,51089,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51923,51081,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51921,51069,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51919,51059,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51918,51053,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51913,51035,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51911,51031,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51909,51019,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51907,51015,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51903,51005,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
51901,51003,VA,"Legacy code in rpa-socioeconomic-downscaling's cid2 scheme; provenance unconfirmed, not a verified retired Census FIPS. Repo's own 'name' field for this row (e.g. 'ALBEMARLE + CHARLOTTESVILLE') indicates cid2 represents the county combined with an adjacent independent city for reporting purposes.",downscaling_cid2_specific
