predecessor_geoid,successor_geoid,weight_basis,share_of_predecessor,share_of_new_region,population_weight_basis,population_share_of_predecessor,population_share_of_new_region,case,note
09009,09140,town_land_area,0.39236,0.574484,town_population_2020,0.340352,0.653561,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09009,09170,town_land_area,0.60764,1.0,town_population_2020,0.659648,1.0,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09011,09130,town_land_area,0.082415,0.129236,town_population_2020,0.037162,0.057282,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09011,09150,town_land_area,0.058591,0.07035,town_population_2020,0.00957,0.026954,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09011,09180,town_land_area,0.858994,0.955115,town_population_2020,0.953268,0.912902,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09013,09110,town_land_area,0.929697,0.37135,town_population_2020,0.994759,0.152628,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09013,09150,town_land_area,0.070303,0.052084,town_population_2020,0.005241,0.008233,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09015,09150,town_land_area,0.947659,0.877565,town_population_2020,0.790196,0.964813,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
09015,09180,town_land_area,0.052341,0.044885,town_population_2020,0.209804,0.087098,CT_2022_planning_regions,"Connecticut's 8 counties were replaced by 9 county-equivalent planning regions in 2022. Genuinely many-to-many (e.g. Naugatuck Valley draws towns from 4 old counties). Area weights built from CT-Data-Collaborative's town-level crosswalk + TIGER 2025 town land area. Population weights (population_share_of_predecessor/population_share_of_new_region, added 2026-07) use the same CT-Data-Collaborative crosswalk, weighted instead by each town's 2020 Census total population (P.L. 94-171 Redistricting File, POP100 field, downloaded unauthenticated from www2.census.gov -- no Census API key needed). The original area-based weight_basis/share columns are left unchanged for consumers where land-area weighting is the appropriate basis (e.g. land-use allocation)."
02280,02275,county_land_area,0.468409,1.0,,,,AK_wrangell_petersburg_2008,"Wrangell-Petersburg Census Area (retired 2008) split into Wrangell City and Borough + Petersburg Census Area/Borough. Shares are current (2025) land area of each successor as a fraction of their combined area -- assumes today's boundary exactly partitions the historical one (no third-party annexation), which matches the documented change. Population weights are not provided for this split: unlike CT's town-level crosswalk, apportioning population would require town/place-level 2020 population spatially joined against the *historical* Census Area boundary (not just the current successors' boundaries), which is meaningfully harder and no downstream consumer has asked for it. Deferred, not silently assumed area-equivalent to population."
02280,02195,county_land_area,0.531591,1.0,,,,AK_wrangell_petersburg_2008,"Wrangell-Petersburg Census Area (retired 2008) split into Wrangell City and Borough + Petersburg Census Area/Borough. Shares are current (2025) land area of each successor as a fraction of their combined area -- assumes today's boundary exactly partitions the historical one (no third-party annexation), which matches the documented change. Population weights are not provided for this split: unlike CT's town-level crosswalk, apportioning population would require town/place-level 2020 population spatially joined against the *historical* Census Area boundary (not just the current successors' boundaries), which is meaningfully harder and no downstream consumer has asked for it. Deferred, not silently assumed area-equivalent to population."
02232,02230,county_land_area,0.063251,1.0,,,,AK_skagway_hoonah_angoon_2007,"Skagway-Hoonah-Angoon Census Area (retired 2007) split into Skagway Municipality + Hoonah-Angoon Census Area. Same current-land-area-partition assumption as the Wrangell-Petersburg split above. Population weights are not provided for this split: unlike CT's town-level crosswalk, apportioning population would require town/place-level 2020 population spatially joined against the *historical* Census Area boundary (not just the current successors' boundaries), which is meaningfully harder and no downstream consumer has asked for it. Deferred, not silently assumed area-equivalent to population."
02232,02105,county_land_area,0.936749,1.0,,,,AK_skagway_hoonah_angoon_2007,"Skagway-Hoonah-Angoon Census Area (retired 2007) split into Skagway Municipality + Hoonah-Angoon Census Area. Same current-land-area-partition assumption as the Wrangell-Petersburg split above. Population weights are not provided for this split: unlike CT's town-level crosswalk, apportioning population would require town/place-level 2020 population spatially joined against the *historical* Census Area boundary (not just the current successors' boundaries), which is meaningfully harder and no downstream consumer has asked for it. Deferred, not silently assumed area-equivalent to population."
02261,02063,county_land_area,0.279774,1.0,,,,AK_valdez_cordova_2019,"Valdez-Cordova Census Area (retired Jan 2019) split into Chugach Census Area + Copper River Census Area. Same current-land-area-partition assumption. NOT in rpa-socioeconomic-downscaling's GEOID_RECODES (that list predates this 2019 change) -- cid2=02261 is used for the full 1970-2022 historical series in that repo's live panel. Population weights are not provided for this split: unlike CT's town-level crosswalk, apportioning population would require town/place-level 2020 population spatially joined against the *historical* Census Area boundary (not just the current successors' boundaries), which is meaningfully harder and no downstream consumer has asked for it. Deferred, not silently assumed area-equivalent to population."
02261,02066,county_land_area,0.720226,1.0,,,,AK_valdez_cordova_2019,"Valdez-Cordova Census Area (retired Jan 2019) split into Chugach Census Area + Copper River Census Area. Same current-land-area-partition assumption. NOT in rpa-socioeconomic-downscaling's GEOID_RECODES (that list predates this 2019 change) -- cid2=02261 is used for the full 1970-2022 historical series in that repo's live panel. Population weights are not provided for this split: unlike CT's town-level crosswalk, apportioning population would require town/place-level 2020 population spatially joined against the *historical* Census Area boundary (not just the current successors' boundaries), which is meaningfully harder and no downstream consumer has asked for it. Deferred, not silently assumed area-equivalent to population."
02231,02282,county_land_area,0.521384,1.0,,,,AK_skagway_yakutat_angoon_1992,"Skagway-Yakutat-Angoon Census Area (retired 1992: Yakutat City and Borough split off, and the remainder became Skagway-Hoonah-Angoon, 02232, which itself split in 2007) -- expressed here directly against the three CURRENT successors (Skagway 02230, Yakutat 02282, Hoonah-Angoon 02105), composing the two documented Census changes. Composition confirmed by the owner's Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16, archived at ~/Data/projects/rpa-geo/). SUPERSEDES the 2026-07-13 owner instruction to map 02231 1:1 to Hoonah-Angoon, which was previously a history_edges.csv entry -- the owner's final location file defines the full three-way aggregate. Shares are current (2025) land area, same method as the other AK splits; population weights deferred for the same reason as the other AK rows."
02231,02105,county_land_area,0.448342,1.0,,,,AK_skagway_yakutat_angoon_1992,"Skagway-Yakutat-Angoon Census Area (retired 1992: Yakutat City and Borough split off, and the remainder became Skagway-Hoonah-Angoon, 02232, which itself split in 2007) -- expressed here directly against the three CURRENT successors (Skagway 02230, Yakutat 02282, Hoonah-Angoon 02105), composing the two documented Census changes. Composition confirmed by the owner's Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16, archived at ~/Data/projects/rpa-geo/). SUPERSEDES the 2026-07-13 owner instruction to map 02231 1:1 to Hoonah-Angoon, which was previously a history_edges.csv entry -- the owner's final location file defines the full three-way aggregate. Shares are current (2025) land area, same method as the other AK splits; population weights deferred for the same reason as the other AK rows."
02231,02230,county_land_area,0.030273,1.0,,,,AK_skagway_yakutat_angoon_1992,"Skagway-Yakutat-Angoon Census Area (retired 1992: Yakutat City and Borough split off, and the remainder became Skagway-Hoonah-Angoon, 02232, which itself split in 2007) -- expressed here directly against the three CURRENT successors (Skagway 02230, Yakutat 02282, Hoonah-Angoon 02105), composing the two documented Census changes. Composition confirmed by the owner's Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16, archived at ~/Data/projects/rpa-geo/). SUPERSEDES the 2026-07-13 owner instruction to map 02231 1:1 to Hoonah-Angoon, which was previously a history_edges.csv entry -- the owner's final location file defines the full three-way aggregate. Shares are current (2025) land area, same method as the other AK splits; population weights deferred for the same reason as the other AK rows."
02070,02164,county_land_area,0.565603,1.0,,,,AK_dillingham_lake_peninsula_1989,"Lake and Peninsula Borough incorporated in 1989 from within Dillingham Census Area; Dillingham KEPT GEOID 02070 with a smaller boundary, so the predecessor code here is ALSO a current canonical GEOID. On current-vintage data, 02070 is just today's Dillingham and must NOT be fanned out -- this row describes the pre-1989 combined area, which is what rpa-socioeconomic-downscaling's cid2=02070 means per the owner's Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16, name: 'Dillingham Census Area + Lake and Peninsula'). Shares are current (2025) land area, same method as the other AK splits; population weights deferred for the same reason as the other AK rows."
02070,02070,county_land_area,0.434397,1.0,,,,AK_dillingham_lake_peninsula_1989,"Lake and Peninsula Borough incorporated in 1989 from within Dillingham Census Area; Dillingham KEPT GEOID 02070 with a smaller boundary, so the predecessor code here is ALSO a current canonical GEOID. On current-vintage data, 02070 is just today's Dillingham and must NOT be fanned out -- this row describes the pre-1989 combined area, which is what rpa-socioeconomic-downscaling's cid2=02070 means per the owner's Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16, name: 'Dillingham Census Area + Lake and Peninsula'). Shares are current (2025) land area, same method as the other AK splits; population weights deferred for the same reason as the other AK rows."
02290,02290,county_land_area,0.920207,1.0,,,,AK_yukon_koyukuk_denali_1990,"Denali Borough incorporated in 1990, drawn mostly from Yukon-Koyukuk Census Area, which KEPT GEOID 02290 with a smaller boundary, so the predecessor code here is ALSO a current canonical GEOID. On current-vintage data, 02290 is just today's Yukon-Koyukuk and must NOT be fanned out -- this row describes the pre-1990 combined area, which is what rpa-socioeconomic-downscaling's cid2=02290 means per the owner's Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16, name: 'Yukon-Koyukuk Census Area + Denali'). Denali is assigned WHOLLY to 02290 per that file although a small part historically came from Southeast Fairbanks (02240) -- an owner-directed approximation. Shares are current (2025) land area, same method as the other AK splits; population weights deferred for the same reason as the other AK rows."
02290,02068,county_land_area,0.079793,1.0,,,,AK_yukon_koyukuk_denali_1990,"Denali Borough incorporated in 1990, drawn mostly from Yukon-Koyukuk Census Area, which KEPT GEOID 02290 with a smaller boundary, so the predecessor code here is ALSO a current canonical GEOID. On current-vintage data, 02290 is just today's Yukon-Koyukuk and must NOT be fanned out -- this row describes the pre-1990 combined area, which is what rpa-socioeconomic-downscaling's cid2=02290 means per the owner's Alaska_locations_final.xlsx (J. Prestemon, received 2026-07-16, name: 'Yukon-Koyukuk Census Area + Denali'). Denali is assigned WHOLLY to 02290 per that file although a small part historically came from Southeast Fairbanks (02240) -- an owner-directed approximation. Shares are current (2025) land area, same method as the other AK splits; population weights deferred for the same reason as the other AK rows."
